show_id,show_name,host_name,category,launched_at
show_001,The Policy Pod,Amara Diallo,Politics,2021-05-10
show_002,Bytes & Brains,Kenji Watanabe,Technology,2020-11-03
show_003,SportsCast Weekly,Rachel Torres,Sports,2019-08-14
show_004,Screen & Sound,Dom Fletcher,Entertainment,2022-01-20
show_005,The Climate Brief,Ingrid Holmberg,Politics,2023-03-07
show_006,Deep Dive Tech,Kenji Watanabe,Technology,2022-09-15
show_007,The Stadium,Rachel Torres,Sports,2021-12-01
show_008,The Science Hour,Elena Vasquez,Technology,2021-03-15
show_009,Entertainment Weekly Pod,Dom Fletcher,Entertainment,2023-06-01
show_010,Political Compass,Amara Diallo,Politics,2022-07-20
show_011,Money Matters,Sara Lindqvist,Technology,2020-05-18
show_012,The Field,Marcus Webb,Sports,2023-02-14
