impression_id,campaign_id,content_id,impression_date,impressions_count,clicks
imp_0001,cmp_001,art_002,2024-01-16,12400,248
imp_0002,cmp_001,art_008,2024-01-22,9800,196
imp_0003,cmp_002,cnt_002,2024-01-20,45000,900
imp_0004,cmp_002,cnt_010,2024-01-20,31000,620
imp_0005,cmp_003,art_007,2024-01-21,8200,246
imp_0006,cmp_004,ep_002,2024-01-09,5400,108
imp_0007,cmp_004,ep_006,2024-01-17,6100,183
imp_0008,cmp_005,art_011,2024-01-25,14000,420
imp_0009,cmp_006,cnt_005,2024-01-20,22000,440
imp_0010,cmp_006,cnt_011,2024-01-21,18500,370
imp_0011,cmp_007,cnt_006,2024-01-21,67000,1340
imp_0012,cmp_007,cnt_014,2024-01-22,29000,580
imp_0013,cmp_008,ep_007,2024-01-18,4800,144
imp_0014,cmp_008,ep_010,2024-01-23,7200,216
imp_0015,cmp_001,art_002,2024-01-17,11100,222
imp_0016,cmp_003,art_012,2024-01-25,6700,201
imp_0017,cmp_006,cnt_001,2024-01-22,19800,396
