spend_id,campaign_id,spend_date,spend_cents,platform_fee_cents
spd_001,cmp_001,2024-01-16,62000,9300
spd_002,cmp_001,2024-01-17,55500,8325
spd_003,cmp_002,2024-01-20,225000,33750
spd_004,cmp_003,2024-01-21,41000,6150
spd_005,cmp_004,2024-01-09,27000,4050
spd_006,cmp_004,2024-01-17,30500,4575
spd_007,cmp_005,2024-01-25,70000,10500
spd_008,cmp_006,2024-01-20,110000,16500
spd_009,cmp_006,2024-01-21,92500,13875
spd_010,cmp_007,2024-01-21,335000,50250
spd_011,cmp_007,2024-01-22,145000,21750
spd_012,cmp_008,2024-01-18,24000,3600
spd_013,cmp_008,2024-01-23,36000,5400
spd_014,cmp_001,2024-01-22,49000,7350
spd_015,cmp_006,2024-01-22,99000,14850
spd_016,cmp_003,2024-01-25,33500,5025
