view_id,article_id,user_id,viewed_at,referrer_source
pv_0001,art_001,usr_101,2024-01-15 09:12:00,search
pv_0002,art_001,usr_204,2024-01-15 09:45:00,social
pv_0003,art_002,usr_307,2024-01-16 10:55:00,direct
pv_0004,art_001,usr_101,2024-01-15 11:30:00,email
pv_0005,art_003,usr_412,2024-01-17 08:30:00,search
pv_0006,art_004,usr_509,2024-01-18 11:20:00,social
pv_0007,art_005,usr_612,2024-01-19 07:15:00,direct
pv_0008,art_001,,2024-01-20 08:00:00,search
pv_0009,art_007,usr_715,2024-01-21 12:30:00,email
pv_0010,art_008,usr_818,2024-01-22 10:15:00,search
pv_0011,art_002,usr_307,2024-01-24 11:45:00,social
pv_0012,art_011,usr_101,2024-01-25 09:10:00,direct
pv_0013,art_012,usr_204,2024-01-25 14:20:00,search
pv_0014,art_007,usr_412,2024-01-21 15:00:00,social
pv_0015,art_006,usr_509,2024-01-20 10:00:00,email
