listen_id,episode_id,user_id,listened_at,listen_duration_seconds,platform
lst_001,ep_001,usr_101,2024-01-08 07:15:00,2580,ios
lst_002,ep_001,usr_204,2024-01-08 09:00:00,1200,android
lst_003,ep_002,usr_307,2024-01-09 08:30:00,3120,web
lst_004,ep_003,usr_412,2024-01-10 06:45:00,2100,ios
lst_005,ep_001,usr_509,2024-01-09 17:00:00,2580,alexa
lst_006,ep_004,usr_101,2024-01-15 07:10:00,2220,ios
lst_007,ep_005,usr_612,2024-01-16 09:15:00,980,android
lst_008,ep_006,usr_307,2024-01-17 08:05:00,3600,web
lst_009,ep_007,usr_715,2024-01-18 07:45:00,2700,ios
lst_010,ep_008,usr_412,2024-01-19 06:40:00,1860,ios
lst_011,ep_004,usr_204,2024-01-16 12:00:00,1800,web
lst_012,ep_009,usr_101,2024-01-22 07:05:00,2460,ios
lst_013,ep_010,usr_818,2024-01-23 08:10:00,4200,web
lst_014,ep_011,usr_204,2024-01-24 09:20:00,1100,android
lst_015,ep_012,usr_412,2024-01-25 06:35:00,1620,ios
lst_016,ep_002,usr_509,2024-01-10 20:00:00,1500,other
lst_017,ep_010,usr_101,2024-01-24 19:00:00,4200,ios
