subscription_id,user_id,plan_type,status,start_date,start_time,end_date,end_time,monthly_fee_cents
sub_001,usr_101,premium,active,2022-06-01,20:07:01,,,1499
sub_002,usr_204,standard,active,2023-02-15,23:17:15,,,999
sub_003,usr_307,basic,cancelled,2021-09-01,07:08:47,2023-12-31,20:53:23,599
sub_004,usr_412,premium,active,2020-11-10,03:43:47,,,1499
sub_005,usr_509,standard,paused,2023-05-01,17:05:37,,,999
sub_006,usr_612,basic,active,2024-01-02,13:02:01,,,599
sub_007,usr_715,premium,trialing,2024-01-20,02:13:14,,,0
sub_008,usr_818,standard,active,2022-08-14,16:38:01,,,999
sub_009,usr_901,Premium,active,2023-07-07,17:12:45,,,1499
sub_010,usr_102,basic,Cancelled,2023-01-01,20:44:34,2023-06-30,05:23:22,599
sub_011,usr_103,standard,active,2023-03-10,13:14:28,,,999
sub_012,usr_104,premium,Active,2022-11-25,18:17:51,,,1499
sub_013,usr_205,basic,active,2023-08-01,00:48:51,,,599
sub_014,usr_206,standard,cancelled,2022-06-01,05:44:27,2024-01-15,06:42:17,999
sub_015,usr_308,Premium,active,2021-04-20,10:17:09,,,1499
sub_016,usr_309,basic,Paused,2023-10-01,06:48:21,,,599
sub_017,usr_413,standard,active,2023-12-01,03:05:24,,,999
sub_018,usr_414,premium,active,2024-01-05,03:22:54,,,1499
sub_019,usr_510,basic,trialing,2024-01-18,11:38:16,,,0
sub_020,usr_511,standard,Active,2023-06-15,01:46:29,,,999
sub_021,usr_613,PREMIUM,active,2022-01-01,17:07:59,,,1499
sub_022,usr_614,basic,cancelled,2023-04-01,12:05:35,2023-09-30,22:59:43,599
sub_023,usr_716,standard,active,2023-09-12,09:53:40,,,999
sub_024,usr_717,basic,active,2024-01-28,19:56:55,,,599
sub_025,usr_819,premium,active,2021-08-15,11:36:12,,,1499
sub_026,usr_820,standard,Trialing,2024-02-01,22:04:02,,,0
sub_027,usr_105,basic,active,2023-11-10,21:14:49,,,599
sub_028,usr_207,Premium,Cancelled,2022-03-01,09:05:54,2023-08-01,20:04:38,1499
sub_029,usr_310,standard,active,2024-01-10,07:55:06,,,999
sub_030,usr_415,premium,active,2023-05-22,12:17:29,,,1499
