event_id,user_id,content_id,watched_at,watch_duration_seconds,device_type
evt_0001,usr_101,cnt_001,2024-01-15 20:00:00,2700,Smart TV
evt_0002,usr_204,cnt_004,2024-01-15 21:30:00,1680,mobile
evt_0003,usr_412,cnt_002,2024-01-20 15:00:00,7200,smart tv
evt_0004,usr_101,cnt_005,2024-01-18 19:30:00,3120,Tablet
evt_0005,usr_307,cnt_003,2024-01-16 14:00:00,5640,web
evt_0006,usr_509,cnt_001,2024-01-17 20:45:00,2700,Mobile
evt_0007,usr_612,cnt_009,2024-01-19 22:00:00,1320,mobile
evt_0008,usr_818,cnt_010,2024-01-20 18:30:00,1800,smart tv
evt_0009,usr_715,cnt_006,2024-01-21 13:00:00,10800,Smart TV
evt_0010,usr_101,cnt_013,2024-01-22 16:00:00,4680,tablet
evt_0011,usr_204,cnt_015,2024-01-23 23:00:00,2100,web
evt_0012,usr_412,cnt_005,2024-01-24 20:00:00,3120,Smart TV
evt_0013,usr_101,cnt_001,2024-01-25 20:00:00,2700,Smart TV
evt_0014,usr_818,cnt_011,2024-01-21 21:00:00,3300,WEB
evt_0015,usr_307,cnt_007,2024-01-24 15:30:00,5280,web
evt_0016,usr_901,cnt_004,2024-01-26 21:00:00,1680,Mobile
evt_0017,usr_103,cnt_016,2024-01-28 20:30:00,4920,smart tv
evt_0018,usr_612,cnt_017,2024-01-29 21:00:00,2820,Smart TV
evt_0019,usr_509,cnt_011,2024-01-27 19:00:00,2640,mobile
evt_0020,usr_715,cnt_005,2024-01-28 20:00:00,3120,Tablet
evt_0021,usr_818,cnt_019,2024-02-04 15:00:00,7200,smart tv
evt_0022,usr_204,cnt_018,2024-02-01 22:00:00,1500,web
evt_0023,usr_412,cnt_021,2024-02-02 20:00:00,3000,SMART TV
evt_0024,usr_101,cnt_017,2024-02-03 21:30:00,2820,tablet
evt_0025,usr_307,cnt_020,2024-02-04 16:00:00,6120,web
evt_0026,usr_103,cnt_001,2024-02-05 20:00:00,2700,Smart TV
evt_0027,usr_206,cnt_009,2024-02-05 22:30:00,1320,Mobile
evt_0028,usr_509,cnt_026,2024-02-06 20:00:00,2880,mobile
evt_0029,usr_613,cnt_022,2024-02-06 19:00:00,840,smart tv
evt_0030,usr_820,cnt_013,2024-02-07 14:30:00,4680,Tablet
evt_0031,usr_715,cnt_024,2024-02-08 21:00:00,5700,Smart TV
evt_0032,usr_414,cnt_018,2024-02-09 22:00:00,1500,mobile
evt_0033,usr_101,cnt_028,2024-02-10 20:00:00,2280,Smart TV
evt_0034,usr_204,cnt_031,2024-02-11 21:30:00,2640,web
evt_0035,usr_412,cnt_029,2024-02-12 22:00:00,1800,mobile
evt_0036,usr_818,cnt_027,2024-02-13 19:00:00,5160,WEB
evt_0037,usr_309,cnt_035,2024-02-08 21:30:00,1920,tablet
evt_0038,usr_901,cnt_011,2024-02-09 20:30:00,3300,Smart TV
evt_0039,usr_206,cnt_003,2024-02-10 15:00:00,5640,web
evt_0040,usr_510,cnt_005,2024-02-11 20:00:00,3120,mobile
evt_0041,usr_613,cnt_015,2024-02-12 22:30:00,2100,MOBILE
evt_0042,usr_103,cnt_034,2024-02-13 21:00:00,3300,Smart TV
evt_0043,usr_309,cnt_007,2024-02-14 16:00:00,5280,Web
evt_0044,usr_716,cnt_004,2024-02-15 21:30:00,1680,mobile
evt_0045,usr_819,cnt_030,2024-02-15 20:00:00,6720,Smart TV
evt_0046,usr_414,cnt_023,2024-02-16 22:00:00,3480,TABLET
evt_0047,usr_307,cnt_021,2024-02-17 20:00:00,3000,web
evt_0048,usr_101,cnt_025,2024-02-17 15:00:00,8700,Smart TV
evt_0049,usr_204,cnt_032,2024-02-18 19:30:00,660,mobile
evt_0050,usr_412,cnt_016,2024-02-18 21:00:00,7080,tablet
evt_0051,usr_510,cnt_026,2024-02-19 20:30:00,2880,Smart TV
evt_0052,usr_715,cnt_033,2024-02-25 15:00:00,9600,smart tv
evt_0053,usr_901,cnt_034,2024-02-20 21:00:00,3300,Mobile
evt_0054,usr_820,cnt_017,2024-02-21 20:00:00,2820,web
evt_0055,usr_613,cnt_031,2024-02-22 21:30:00,2640,Smart TV
evt_0056,usr_819,cnt_019,2024-02-24 15:00:00,10800,Smart TV
evt_0057,usr_309,cnt_027,2024-02-25 16:00:00,5160,web
evt_0058,usr_103,cnt_014,2024-02-26 21:00:00,2400,smart tv
evt_0059,usr_716,cnt_011,2024-02-27 20:30:00,3300,Mobile
evt_0060,usr_818,cnt_035,2024-02-28 22:00:00,1920,WEB
