contract_id,advertiser_id,contract_value_cents,start_date,end_date,renewal_status
ctr_001,adv_a,5000000,2024-01-01,2024-03-31,renewed
ctr_002,adv_a,4500000,2024-04-01,2024-06-30,active
ctr_003,adv_b,2500000,2024-01-10,2024-01-31,renewed
ctr_004,adv_b,1900000,2024-01-19,2024-02-10,renewed
ctr_005,adv_b,2100000,2024-02-01,2024-02-28,active
ctr_006,adv_c,1800000,2024-01-15,2024-02-15,renewed
ctr_007,adv_c,950000,2024-01-22,2024-02-22,active
ctr_008,adv_d,750000,2024-01-01,2024-01-31,renewed
ctr_009,adv_d,1400000,2024-02-05,2024-03-05,active
ctr_010,adv_e,3200000,2024-01-20,2024-02-20,renewed
ctr_011,adv_f,2200000,2024-01-15,2024-02-28,active
ctr_012,adv_g,3800000,2024-02-01,2024-03-15,active
ctr_013,adv_h,1600000,2024-01-20,2024-02-20,churned
