mapping_type,legacy_id,mediapulse_id,mapped_at
user_id,SV100001,usr_101,2024-01-02
user_id,SV100002,usr_204,2024-01-04
user_id,SV100003,usr_307,2024-01-03
user_id,SV100004,usr_412,2024-01-01
user_id,SV100005,usr_509,2024-01-02
user_id,SV100006,usr_612,2024-01-01
user_id,SV100008,usr_901,2024-01-03
user_id,SV100009,usr_102,2024-01-04
user_id,SV100010,usr_103,2024-01-02
user_id,SV100011,usr_104,2024-01-01
user_id,SV100012,usr_205,2024-01-01
user_id,SV100013,usr_206,2024-01-04
user_id,SV100014,usr_308,2024-01-05
content_id,SVC0001,cnt_001,2024-01-05
content_id,SVC0002,cnt_003,2024-01-02
content_id,SVC0003,cnt_004,2024-01-03
content_id,SVC0004,cnt_008,2024-01-01
content_id,SVC0005,cnt_009,2024-01-04
content_id,SVC0006,cnt_011,2024-01-02
content_id,SVC0007,cnt_012,2024-01-02
content_id,SVC0008,cnt_015,2024-01-03
content_id,SVC0009,cnt_020,2024-01-04
content_id,SVC0010,cnt_024,2024-01-01
content_id,SVC0011,cnt_026,2024-01-03
content_id,SVC0015,cnt_017,2024-01-03
