subscriber_ref,tier,account_status,start_dt,start_tm,end_dt,end_tm
SV100001,gold,active,2021-03-12,18:22:01,,
SV100002,silver,active,2021-07-04,09:14:47,,
SV100003,bronze,active,2021-09-01,07:08:47,,
SV100004,gold,active,2020-11-10,03:43:47,,
SV100005,silver,active,2022-01-20,17:05:37,,
SV100006,bronze,active,2022-04-15,13:02:01,,
SV100007,silver,active,2022-08-14,16:38:01,,
SV100008,gold,active,2023-07-07,17:12:45,,
SV100009,bronze,active,2023-01-01,20:44:34,,
SV100010,silver,active,2023-03-10,13:14:28,,
SV100011,gold,active,2022-11-25,18:17:51,,
SV100012,bronze,active,2023-08-01,00:48:51,,
SV100013,silver,active,2021-06-01,05:44:27,,
SV100014,gold,active,2021-04-20,10:17:09,,
SV100015,silver,active,2021-08-15,11:36:12,,
SV100016,bronze,terminated,2021-02-01,12:03:11,2022-05-31,20:14:02
SV100017,gold,terminated,2021-05-19,08:41:22,2022-11-30,19:02:44
SV100018,silver,terminated,2021-06-30,22:10:05,2023-01-15,07:55:19
SV100019,bronze,terminated,2021-09-09,14:27:38,2022-02-28,21:33:50
SV100020,gold,terminated,2022-01-11,06:52:14,2023-04-30,23:09:07
SV100021,silver,terminated,2022-03-22,19:44:29,2023-06-15,05:47:33
SV100022,bronze,terminated,2022-07-07,11:16:53,2023-09-30,18:22:41
SV100023,gold,terminated,2021-12-01,03:38:07,2023-03-31,22:15:26
SV100024,silver,terminated,2022-09-16,17:29:44,2023-08-31,06:41:18
SV100025,bronze,terminated,2023-01-05,09:07:52,2023-11-30,20:03:37
