subscription_id,user_id,plan_type,status,start_date,start_time,end_date,end_time,monthly_fee_cents,updated_at
sub_0352,usr_848,BASIC,Cancelled,2022-11-15,00:05:21,2023-01-30,02:58:30,599,2023-02-02 09:48:00
sub_0202,usr_537,standard,CANCELLED,2020-05-08,20:46:47,2021-03-09,05:36:40,999,2021-03-10 22:22:00
sub_0105,usr_506,PREMIUM,cancelled,2024-06-10,21:39:17,2024-06-21,16:00:27,1499,2024-06-26 05:07:00
sub_0277,usr_268,Basic,Cancelled,2023-07-04,10:03:06,2024-04-10,07:42:13,599,2024-04-13 00:44:00
sub_0179,usr_677,basic,active,2024-04-18,01:32:16,,,599,2024-04-19 23:55:00
sub_0094,usr_988,standard,Paused,2024-09-24,,2024-10-11,05:59:53,999,2024-10-12 14:06:00
sub_0452,usr_799,PREMIUM,Active,2025-04-31,20:39:19,,,1499,2025-01-08 22:02:00
sub_0053,usr_528,premium,CANCELLED,2020-10-23,16:16:19,2021-04-30,04:18:39,1499,2021-05-01 15:14:00
sub_0223,usr_406,Premium,Cancelled,2024-01-21,11:42:57,2024-02-18,23:05:28,1499,2024-02-19 09:47:00
sub_0402,usr_908,standard,active,2023-05-02,04:03:53,,,999,2023-05-05 00:06:00
sub_0063,usr_192,standard,paused,2023-10-10,16:12:18,2024-3-13,22:50:52,999,2024-03-17 08:36:00
sub_0028,usr_196,Standard,cancelled,0000-00-00,06:15:05,2023-11-16,08:51:36,999,2023-11-19 23:33:00
sub_0259,usr_559,BASIC,paused,2022-05-14,05:38:08,2022-01-30,00:20:45,599,2022-01-31 06:38:00
sub_0188,usr_310,basic,CANCELLED,2023-09-21,14:36:51,2023-10-02,23:55:48,599,2023-10-04 21:26:00
sub_0234,usr_898,Premium,Cancelled,2021-11-30,19:59:35,,,1499,2021-11-30 02:37:00
sub_0092,usr_988,Premium,Cancelled,2023-05-09,22:05:16,2024-14-21,16:25:11,1499,NULL
sub_0219,usr_470,standard,CANCELLED,2024-04-07,06:56:14,,,999,2024-04-09 00:30:00
sub_0329,usr_933,Premium,ACTIVE,2023-10-17,08:38:34,,,1499,2023-10-22 03:12:00
sub_0224,usr_354,Basic,ACTIVE,2020-12-04,07:04:30,,,599,2020-12-07 06:19:00
sub_0276,usr_981,standard,Active,2022-05-19,14:15:43,,,999,2022-05-20 18:02:00
sub_0095,usr_988,Standard,Active,2024-12-30,15:07:40,,,999,2024-12-31 14:55:00
sub_0295,usr_140,STANDARD,cancelled,2022-10-07,01:41:59,2023-08-26,16:46:09,999,2023-08-30 00:01:00
sub_0336,usr_170,STANDARD,Active,2021-03-05,10:16:24,,,999,2021-03-06 21:03:00
sub_0210,usr_421,basic,CANCELLED,2023-02-22,03:05:23,2024-04-07,15:38:36,599,2024-04-12 22:49:00
sub_0311,usr_686,Standard,PAUSED,2022-11-11,07:20:53,2023-12-16,17:42:26,999,2023-12-16 18:44:00
sub_0064,usr_664,basic,PAUSED,2022-10-17,02:31:50,2023-12-13,10:22:06,599,2023-12-16 20:01:00
sub_0007,usr_254,BASIC,canceled,2022-09-14,04:01:09,2023-11-20,19:52:38,599,
sub_0427,usr_662,standard,canceled,2024-03-23,07:51:15,2024-06-24,23:37:48,999,2024-06-28 21:34:00
sub_0138,usr_415,STANDARD,cancelled,2023-13-08,04:55:32,2024-03-13,23:32:06,999,2024-03-14 18:30:00
sub_0177,usr_677,standard,CANCELLED,2023-08-15,11:28:30,2023-12-4,09:51:04,999,2023-12-05 19:25:00
sub_0167,usr_199,premium,Active,2021-1-8,18:29:59,,,1499,2021-01-11 15:08:00
sub_0144,usr_285,premium,Paused,2024-01-28,08:04:32,2024-03-09,04:44:02,1499,2024-03-14 18:40:00
sub_0248,usr_606,premium,canceled,2023-09-03,18:27:01,2023-11-09,09:52:32,1499,2023-11-13 01:14:00
sub_0397,usr_323,PREMIUM,paused,2020-11-28,20:59:02,2021-04-07,12:28:58,1499,2021-04-10 13:26:00
sub_0206,usr_895,BASIC,Cancelled,2023-04-08,null,2024-04-29,22:56:30,599,2024-04-29 22:15:00
sub_0233,usr_815,BASIC,Active,2021-11-17,09:26:47,,,599,2021-11-17 19:03:00
sub_0321,usr_458,basic,canceled,2023-07-17,02:04:28,2023-08-17,02:26:14,599,2023-08-19 20:31:00
