event_id,user_id,content_id,watched_at,watch_duration_seconds,device_type,batched_at
evt_3064,usr_560,cnt_054,2024-01-01 00:21:00,3281,SMART TV,2024-01-02 00:00:00
evt_4518,usr_729,cnt_059,2024-01-01 00:30:00,1620,web,2024-01-02 00:00:00
evt_1938,usr_820,cnt_095,2024-01-01 00:34:00,2328,smart tv,2024-01-02 00:00:00
evt_3306,usr_791,cnt_046,2024-01-01 00:56:00,4447,mobile,2024-01-02 00:00:00
evt_2068,usr_445,cnt_028,2024-01-01 13:01:00,5037,Smart TV,2024-01-02 00:00:00
evt_3216,usr_362,cnt_096,2024-01-01 13:10:00,6947,mobile,2024-01-02 00:00:00
evt_4341,usr_589,cnt_011,2024-01-01 15:25:00,3023,Mobile,2024-01-02 00:00:00
evt_1015,usr_232,cnt_009,2024-01-01 15:38:00,547,MOBILE,2024-01-02 00:00:00
evt_0907,usr_648,cnt_010,2024-01-01 15:49:00,2100,Web,2024-01-02 00:00:00
evt_4487,usr_445,cnt_014,2024-01-01 16:28:00,3183,MOBILE,2024-01-02 00:00:00
evt_3192,usr_791,cnt_114,2024-01-01 16:33:00,7201,mobile,2024-01-02 00:00:00
evt_1431,usr_554,cnt_014,2024-01-01 16:42:00,931,mobile,2024-01-02 00:00:00
evt_3287,usr_229,cnt_068,2024-01-01 17:18:00,2314,mobile,2024-01-02 00:00:00
evt_4477,usr_113,cnt_114,2024-01-01 17:18:00,6304,Mobile,2024-01-02 00:00:00
evt_4949,usr_394,cnt_103,2024-01-01 17:25:00,3919,TABLET,2024-01-02 00:00:00
evt_2815,usr_232,cnt_100,2024-01-01 17:34:00,5486,mobile,2024-01-02 00:00:00
evt_2847,usr_817,cnt_108,2024-01-01 17:36:00,2309,mobile,2024-01-02 00:00:00
evt_3211,usr_590,cnt_055,2024-01-01 17:37:00,2368,Mobile,2024-01-02 00:00:00
evt_2180,usr_109,cnt_052,2024-01-01 17:58:00,1001,Mobile,2024-01-02 00:00:00
evt_1356,usr_576,cnt_082,2024-01-01 18:22:00,8234,Tablet,2024-01-02 00:00:00
evt_3567,usr_440,cnt_093,2024-01-01 18:58:00,6336,mobile,2024-01-02 00:00:00
evt_2108,usr_732,cnt_096,2024-01-01 20:08:00,1258,Mobile,2024-01-02 00:00:00
evt_4252,usr_696,cnt_003,2024-01-01 20:16:00,1594,TABLET,2024-01-02 00:00:00
evt_0943,usr_613,cnt_067,2024-01-01 20:53:00,557,Smart TV,2024-01-02 00:00:00
evt_2090,usr_131,cnt_058,2024-01-01 21:25:00,9278,Smart TV,2024-01-02 00:00:00
evt_2151,usr_587,cnt_058,2024-01-01 21:54:00,3281,Tablet,2024-01-02 00:00:00
evt_3407,usr_349,cnt_108,2024-01-01 22:41:00,439,tablet,2024-01-02 00:00:00
evt_2917,usr_527,cnt_054,2024-01-01 22:47:00,862,WEB,2024-01-02 00:00:00
evt_0564,usr_757,cnt_082,2024-01-01 23:04:00,2863,MOBILE,2024-01-02 00:00:00
evt_3885,usr_842,cnt_052,2024-01-01 23:06:00,2685,smart tv,2024-01-02 00:00:00
evt_0749,usr_920,cnt_029,2024-01-01 23:14:00,1719,Web,2024-01-02 00:00:00
evt_0892,usr_606,cnt_015,2024-01-01 23:22:00,6681,Smart TV,2024-01-02 00:00:00
evt_0236,usr_631,cnt_043,2024-01-01 23:24:00,2759,Mobile,2024-01-02 00:00:00
evt_4685,usr_623,cnt_025,2024-01-01 23:29:00,8015,mobile,2024-01-02 00:00:00
evt_1642,usr_608,cnt_018,2024-01-02 13:02:00,2756,smart tv,2024-01-03 00:00:00
evt_2324,usr_332,cnt_036,2024-01-02 13:03:00,5765,MOBILE,2024-01-03 00:00:00
evt_3388,usr_362,cnt_015,2024-01-02 13:56:00,3288,Mobile,2024-01-03 00:00:00
evt_1506,usr_848,cnt_076,2024-01-02 14:57:00,1674,mobile,2024-01-03 00:00:00
evt_2904,usr_372,cnt_008,2024-01-02 15:08:00,7838,Mobile,2024-01-03 00:00:00
evt_2498,usr_748,cnt_116,2024-01-02 15:09:00,2698,SMART TV,2024-01-03 00:00:00
evt_0962,usr_872,cnt_070,2024-01-02 15:33:00,1998,tablet,2024-01-03 00:00:00
evt_3596,usr_928,cnt_105,2024-01-02 15:41:00,8562,web,2024-01-03 00:00:00
evt_1553,usr_898,cnt_068,2024-01-02 17:40:00,10083,mobile,2024-01-03 00:00:00
evt_3578,usr_433,cnt_090,2024-01-02 17:45:00,3594,Smart TV,2024-01-03 00:00:00
evt_3351,usr_895,cnt_098,2024-01-02 17:51:00,1875,Web,2024-01-03 00:00:00
evt_2831,usr_770,cnt_103,2024-01-02 18:15:00,3180,Smart TV,2024-01-03 00:00:00
evt_3080,usr_853,cnt_096,2024-01-02 19:11:00,4817,MOBILE,2024-01-03 00:00:00
evt_2837,usr_585,cnt_065,2024-01-02 20:00:00,339,Tablet,2024-01-03 00:00:00
evt_3802,usr_504,cnt_113,2024-01-02 20:07:00,2765,mobile,2024-01-03 00:00:00
evt_2054,usr_888,cnt_107,2024-01-02 20:16:00,6440,mobile,2024-01-03 00:00:00
evt_1529,usr_503,cnt_090,2024-01-02 20:52:00,743,WEB,2024-01-03 00:00:00
evt_2146,usr_898,cnt_072,2024-01-02 21:14:00,1633,Mobile,2024-01-03 00:00:00
evt_3049,usr_589,cnt_118,2024-01-02 21:20:00,3533,Web,2024-01-03 00:00:00
