impression_id,campaign_id,content_id,impression_date,impressions_count,clicks
imp_0001,cmp_001,art_002,2024-01-16,12400,248
imp_0002,cmp_001,art_008,2024-01-22,9800,196
imp_0003,cmp_002,cnt_002,2024-01-20,45000,900
imp_0004,cmp_002,cnt_010,2024-01-20,31000,620
imp_0005,cmp_003,art_007,2024-01-21,8200,246
imp_0006,cmp_004,ep_002,2024-01-09,5400,108
imp_0007,cmp_004,ep_006,2024-01-17,6100,183
imp_0008,cmp_005,art_011,2024-01-25,14000,420
imp_0009,cmp_006,cnt_005,2024-01-20,22000,440
imp_0010,cmp_006,cnt_011,2024-01-21,18500,370
imp_0011,cmp_007,cnt_006,2024-01-21,67000,1340
imp_0012,cmp_007,cnt_014,2024-01-22,29000,580
imp_0013,cmp_008,ep_007,2024-01-18,4800,144
imp_0014,cmp_008,ep_010,2024-01-23,7200,216
imp_0015,cmp_001,art_002,2024-01-17,11100,222
imp_0016,cmp_003,art_012,2024-01-25,6700,201
imp_0017,cmp_006,cnt_001,2024-01-22,19800,396
imp_0018,cmp_001,art_008,2024-01-29,10500,210
imp_0019,cmp_001,art_026,2024-02-03,13200,264
imp_0020,cmp_009,art_012,2024-01-20,9400,188
imp_0021,cmp_009,art_016,2024-01-25,11200,224
imp_0022,cmp_009,art_028,2024-02-05,10800,216
imp_0023,cmp_009,art_032,2024-02-10,9600,192
imp_0024,cmp_010,cnt_021,2024-02-05,18500,370
imp_0025,cmp_010,cnt_026,2024-02-05,14200,284
imp_0026,cmp_010,cnt_034,2024-02-12,21000,420
imp_0027,cmp_010,cnt_031,2024-02-19,17800,356
imp_0028,cmp_011,cnt_002,2024-02-05,38000,760
imp_0029,cmp_011,cnt_019,2024-02-05,29000,580
imp_0030,cmp_011,cnt_025,2024-02-12,42000,840
imp_0031,cmp_011,cnt_033,2024-02-20,35000,700
imp_0032,cmp_012,art_004,2024-01-23,7800,234
imp_0033,cmp_012,art_016,2024-01-30,8400,252
imp_0034,cmp_012,art_028,2024-02-06,9100,273
imp_0035,cmp_013,art_018,2024-02-05,16200,324
imp_0036,cmp_013,art_026,2024-02-05,12800,256
imp_0037,cmp_013,art_034,2024-02-12,15400,308
imp_0038,cmp_013,art_038,2024-02-19,18100,362
imp_0039,cmp_013,art_042,2024-02-26,14700,294
imp_0040,cmp_014,ep_013,2024-02-07,6800,136
imp_0041,cmp_014,ep_016,2024-02-07,5900,118
imp_0042,cmp_014,ep_023,2024-02-14,7200,144
imp_0043,cmp_014,ep_030,2024-02-21,8100,162
imp_0044,cmp_015,art_023,2024-02-05,11500,230
imp_0045,cmp_015,art_031,2024-02-12,9800,196
imp_0046,cmp_016,ep_024,2024-02-12,5600,112
imp_0047,cmp_016,ep_028,2024-02-19,6400,128
imp_0048,cmp_016,ep_034,2024-02-26,7100,142
imp_0049,cmp_017,cnt_005,2024-02-20,24000,480
imp_0050,cmp_017,cnt_026,2024-02-20,19500,390
imp_0051,cmp_017,cnt_034,2024-02-27,22000,440
imp_0052,cmp_018,art_013,2024-01-25,8900,178
imp_0053,cmp_018,art_021,2024-02-01,10200,204
imp_0054,cmp_007,cnt_019,2024-02-04,31000,620
imp_0055,cmp_008,ep_014,2024-02-05,5200,156
