mapping_type,legacy_id,mediapulse_id,mapped_at
user,SV100001,usr_101,2024-01-02
user,SV100002,usr_204,2024-01-04
user,SV100003,usr_307,2024-01-03
user,SV100004,usr_412,2024-01-01
user,SV100005,usr_509,2024-01-02
user,SV100006,usr_612,2024-01-01
user,SV100007,usr_818,2024-01-01
user,SV100008,usr_901,2024-01-03
user,SV100009,usr_102,2024-01-04
user,SV100010,usr_103,2024-01-02
user,SV100011,usr_104,2024-01-01
user,SV100012,usr_205,2024-01-01
user,SV100013,usr_206,2024-01-04
user,SV100014,usr_308,2024-01-05
user,SV100015,usr_819,2024-01-03
user,SV100016,,
user,SV100017,,
user,SV100018,,
user,SV100019,,
user,SV100020,,
user,SV100021,,
user,SV100022,,
user,SV100023,,
user,SV100024,,
user,SV100025,,
content,SVC0001,cnt_001,2024-01-05
content,SVC0002,cnt_003,2024-01-02
content,SVC0003,cnt_004,2024-01-03
content,SVC0004,cnt_008,2024-01-01
content,SVC0005,cnt_009,2024-01-04
content,SVC0006,cnt_011,2024-01-02
content,SVC0007,cnt_012,2024-01-02
content,SVC0008,cnt_015,2024-01-03
content,SVC0009,cnt_020,2024-01-04
content,SVC0010,cnt_024,2024-01-01
content,SVC0011,cnt_026,2024-01-03
content,SVC0012,cnt_029,2024-01-03
content,SVC0013,cnt_030,2024-01-03
content,SVC0014,cnt_034,2024-01-05
content,SVC0015,cnt_017,2024-01-03
content,SVC0016,,
content,SVC0017,,
content,SVC0018,,
content,SVC0019,,
content,SVC0020,,
content,SVC0021,,
content,SVC0022,,
content,SVC0023,,
content,SVC0024,,
content,SVC0025,,
