ping_id,subscriber_ref,media_id,ping_date,ping_time,playback_position_seconds,device_code
SVP00001,SV100011,SVC0005,2021-04-09,08:52:34,0,browser
SVP00002,SV100011,SVC0005,2021-04-09,08:53:34,60,browser
SVP00003,SV100011,SVC0005,2021-04-09,08:54:34,120,browser
SVP00004,SV100011,SVC0005,2021-04-09,08:55:34,180,browser
SVP00005,SV100011,SVC0005,2021-04-09,08:56:34,240,browser
SVP00006,SV100011,SVC0005,2021-04-09,08:57:34,300,browser
SVP00007,SV100011,SVC0005,2021-04-09,08:58:34,360,browser
SVP00008,SV100011,SVC0005,2021-04-09,08:59:34,420,browser
SVP00009,SV100002,SVC0017,2021-03-18,08:27:26,0,stb
SVP00010,SV100002,SVC0017,2021-03-18,08:28:26,60,stb
SVP00011,SV100002,SVC0017,2021-03-18,08:29:26,120,stb
SVP00012,SV100002,SVC0017,2021-03-18,08:30:26,180,stb
SVP00013,SV100002,SVC0017,2021-03-18,08:31:26,240,stb
SVP00014,SV100002,SVC0017,2021-03-18,08:32:26,300,stb
SVP00015,SV100002,SVC0017,2021-03-18,08:34:26,420,stb
SVP00016,SV100014,SVC0002,2021-09-11,13:40:40,0,mob
SVP00017,SV100014,SVC0002,2021-09-11,13:41:40,60,mob
SVP00018,SV100014,SVC0002,2021-09-11,13:42:40,120,mob
SVP00019,SV100014,SVC0002,2021-09-11,13:43:40,180,mob
SVP00020,SV100014,SVC0002,2021-09-11,13:44:40,240,mob
SVP00021,SV100014,SVC0002,2021-09-11,13:45:40,300,mob
SVP00022,SV100014,SVC0002,2021-09-11,13:46:40,360,mob
SVP00023,SV100014,SVC0002,2021-09-11,13:47:40,420,mob
SVP00024,SV100014,SVC0002,2021-09-11,13:48:40,480,mob
SVP00025,SV100014,SVC0002,2021-09-11,13:49:40,540,mob
SVP00026,SV100014,SVC0002,2021-09-11,13:50:40,600,mob
SVP00027,SV100014,SVC0002,2021-09-11,13:51:40,660,mob
SVP00028,SV100014,SVC0002,2021-09-11,13:52:40,720,mob
SVP00029,SV100014,SVC0002,2021-09-11,13:53:40,780,mob
SVP00030,SV100014,SVC0002,2021-09-11,13:54:40,840,mob
SVP00031,SV100014,SVC0002,2021-09-11,13:55:40,900,mob
SVP00032,SV100014,SVC0002,2021-09-11,13:56:40,960,mob
SVP00033,SV100014,SVC0002,2021-09-11,13:57:40,1020,mob
SVP00034,SV100014,SVC0002,2021-09-11,13:58:40,1080,mob
SVP00035,SV100014,SVC0002,2021-09-11,13:59:40,1140,mob
SVP00036,SV100014,SVC0002,2021-09-11,14:00:40,1200,mob
SVP00037,SV100014,SVC0002,2021-09-11,14:01:40,1260,mob
