ping_id,subscriber_ref,media_id,ping_date,ping_time,playback_position_seconds,device_code
SVP00001,SV100011,SVC0005,2023-04-09,08:52:34,0,browser
SVP00002,SV100011,SVC0005,2023-04-09,08:53:34,60,browser
SVP00003,SV100011,SVC0005,2023-04-09,08:54:34,120,browser
SVP00004,SV100011,SVC0005,2023-04-09,08:55:34,180,browser
SVP00005,SV100011,SVC0005,2023-04-09,08:56:34,240,browser
SVP00006,SV100011,SVC0005,2023-04-09,08:57:34,300,browser
SVP00007,SV100011,SVC0005,2023-04-09,08:58:34,360,browser
SVP00008,SV100011,SVC0005,2023-04-09,08:59:34,420,browser
SVP00009,SV100002,SVC0017,2023-03-18,08:27:26,0,stb
SVP00010,SV100002,SVC0017,2023-03-18,08:28:26,60,stb
SVP00011,SV100002,SVC0017,2023-03-18,08:29:26,120,stb
SVP00012,SV100002,SVC0017,2023-03-18,08:30:26,180,stb
SVP00013,SV100002,SVC0017,2023-03-18,08:31:26,240,stb
SVP00014,SV100002,SVC0017,2023-03-18,08:32:26,300,stb
SVP00015,SV100002,SVC0017,2023-03-18,08:34:26,420,stb
SVP00016,SV100014,SVC0002,2023-09-11,13:40:40,0,mob
SVP00017,SV100014,SVC0002,2023-09-11,13:41:40,60,mob
SVP00018,SV100014,SVC0002,2023-09-11,13:42:40,120,mob
SVP00019,SV100014,SVC0002,2023-09-11,13:43:40,180,mob
SVP00020,SV100014,SVC0002,2023-09-11,13:44:40,240,mob
SVP00021,SV100014,SVC0002,2023-09-11,13:45:40,300,mob
SVP00022,SV100014,SVC0002,2023-09-11,13:46:40,360,mob
SVP00023,SV100014,SVC0002,2023-09-11,13:47:40,420,mob
SVP00024,SV100014,SVC0002,2023-09-11,13:48:40,480,mob
SVP00025,SV100014,SVC0002,2023-09-11,13:49:40,540,mob
SVP00026,SV100014,SVC0002,2023-09-11,13:50:40,600,mob
SVP00027,SV100014,SVC0002,2023-09-11,13:51:40,660,mob
SVP00028,SV100014,SVC0002,2023-09-11,13:52:40,720,mob
SVP00029,SV100014,SVC0002,2023-09-11,13:53:40,780,mob
SVP00030,SV100014,SVC0002,2023-09-11,13:54:40,840,mob
SVP00031,SV100014,SVC0002,2023-09-11,13:55:40,900,mob
SVP00032,SV100014,SVC0002,2023-09-11,13:56:40,960,mob
SVP00033,SV100014,SVC0002,2023-09-11,13:57:40,1020,mob
SVP00034,SV100014,SVC0002,2023-09-11,13:58:40,1080,mob
SVP00035,SV100014,SVC0002,2023-09-11,13:59:40,1140,mob
SVP00036,SV100014,SVC0002,2023-09-11,14:00:40,1200,mob
SVP00037,SV100014,SVC0002,2023-09-11,14:01:40,1260,mob
SVP00038,SV100014,SVC0002,2023-09-11,14:02:40,1320,mob
SVP00039,SV100014,SVC0002,2023-09-11,14:03:40,1380,mob
SVP00040,SV100014,SVC0002,2023-09-11,14:04:40,1440,mob
SVP00041,SV100014,SVC0002,2023-09-11,14:05:40,1500,mob
SVP00042,SV100014,SVC0002,2023-09-11,14:06:40,1560,mob
SVP00043,SV100014,SVC0002,2023-09-11,14:07:40,1620,mob
SVP00044,SV100014,SVC0002,2023-09-11,14:08:40,1680,mob
SVP00045,SV100014,SVC0002,2023-09-11,14:09:40,1740,mob
SVP00046,SV100014,SVC0002,2023-09-11,14:10:40,1800,mob
SVP00047,SV100014,SVC0002,2023-09-11,14:11:40,1860,mob
SVP00048,SV100014,SVC0002,2023-09-11,14:12:40,1920,mob
SVP00049,SV100014,SVC0002,2023-09-11,14:13:40,1980,mob
SVP00050,SV100014,SVC0002,2023-09-11,14:14:40,2040,mob
SVP00051,SV100014,SVC0002,2023-09-11,14:15:40,2100,mob
SVP00052,SV100014,SVC0002,2023-09-11,14:16:40,2160,mob
SVP00053,SV100014,SVC0002,2023-09-11,14:17:40,2220,mob
SVP00054,SV100014,SVC0002,2023-09-11,14:18:40,2280,mob
SVP00055,SV100014,SVC0002,2023-09-11,14:19:40,2340,mob
SVP00056,SV100014,SVC0002,2023-09-11,14:20:40,2400,mob
SVP00057,SV100014,SVC0002,2023-09-11,14:21:40,2460,mob
SVP00058,SV100014,SVC0002,2023-09-11,14:22:40,2520,mob
SVP00059,SV100014,SVC0002,2023-09-11,14:23:40,2580,mob
SVP00060,SV100014,SVC0002,2023-09-11,14:24:40,2640,mob
SVP00061,SV100014,SVC0002,2023-09-11,14:25:40,2700,mob
SVP00062,SV100014,SVC0002,2023-09-11,14:26:40,2760,mob
SVP00063,SV100014,SVC0002,2023-09-11,14:27:40,2820,mob
SVP00064,SV100014,SVC0002,2023-09-11,14:28:40,2880,mob
SVP00065,SV100014,SVC0002,2023-09-11,14:29:40,2940,mob
SVP00066,SV100014,SVC0002,2023-09-11,14:30:40,3000,mob
SVP00067,SV100014,SVC0002,2023-09-11,14:31:40,3060,mob
SVP00068,SV100014,SVC0002,2023-09-11,14:32:40,3120,mob
SVP00069,SV100014,SVC0002,2023-09-11,14:33:40,3180,mob
SVP00070,SV100014,SVC0002,2023-09-11,14:34:40,3240,mob
SVP00071,SV100014,SVC0002,2023-09-11,14:35:40,3300,mob
SVP00072,SV100014,SVC0002,2023-09-11,14:36:40,3360,mob
SVP00073,SV100014,SVC0002,2023-09-11,14:37:40,3420,mob
SVP00074,SV100014,SVC0002,2023-09-11,14:38:40,3480,mob
SVP00075,SV100014,SVC0002,2023-09-11,14:39:40,3540,mob
SVP00076,SV100019,SVC0019,2023-04-12,13:02:35,0,browser
SVP00077,SV100019,SVC0019,2023-04-12,13:03:35,60,browser
SVP00078,SV100019,SVC0019,2023-04-12,13:04:35,120,browser
SVP00079,SV100019,SVC0019,2023-04-12,13:05:35,180,browser
SVP00080,SV100019,SVC0019,2023-04-12,13:06:35,240,browser
SVP00081,SV100019,SVC0019,2023-04-12,13:07:35,300,browser
SVP00082,SV100019,SVC0019,2023-04-12,13:08:35,360,browser
SVP00083,SV100019,SVC0019,2023-04-12,13:09:35,420,browser
SVP00084,SV100019,SVC0019,2023-04-12,13:10:35,480,browser
SVP00085,SV100019,SVC0019,2023-04-12,13:11:35,540,browser
SVP00086,SV100019,SVC0019,2023-04-12,13:12:35,600,browser
SVP00087,SV100019,SVC0019,2023-04-12,13:13:35,660,browser
SVP00088,SV100005,SVC0018,2024-09-24,23:52:43,0,stb
SVP00089,SV100005,SVC0018,2024-09-24,23:53:43,60,stb
SVP00090,SV100005,SVC0018,2024-09-24,23:54:43,120,stb
SVP00091,SV100005,SVC0018,2024-09-24,23:55:43,180,stb
SVP00092,SV100005,SVC0018,2024-09-24,23:56:43,240,stb
SVP00093,SV100005,SVC0018,2024-09-24,23:58:43,360,stb
SVP00094,SV100005,SVC0018,2024-09-24,23:59:43,420,stb
SVP00095,SV100005,SVC0018,2024-09-25,00:00:43,480,stb
SVP00096,SV100005,SVC0018,2024-09-25,00:01:43,540,stb
SVP00097,SV100005,SVC0018,2024-09-25,00:02:43,600,stb
SVP00098,SV100005,SVC0018,2024-09-25,00:03:43,660,stb
SVP00099,SV100012,SVC0004,2023-05-09,07:39:13,0,mob
SVP00100,SV100012,SVC0004,2023-05-09,07:40:13,60,mob
SVP00101,SV100012,SVC0004,2023-05-09,07:41:13,120,mob
SVP00102,SV100012,SVC0004,2023-05-09,07:42:13,180,mob
SVP00103,SV100012,SVC0004,2023-05-09,07:43:13,240,mob
SVP00104,SV100012,SVC0004,2023-05-09,07:44:13,300,mob
SVP00105,SV100012,SVC0004,2023-05-09,07:45:13,360,mob
SVP00106,SV100012,SVC0004,2023-05-09,07:46:13,420,mob
SVP00107,SV100012,SVC0004,2023-05-09,07:47:13,480,mob
SVP00108,SV100012,SVC0004,2023-05-09,07:48:13,540,mob
SVP00109,SV100012,SVC0004,2023-05-09,07:49:13,600,mob
SVP00110,SV100012,SVC0004,2023-05-09,07:50:13,660,mob
SVP00111,SV100012,SVC0004,2023-05-09,07:51:13,720,mob
SVP00112,SV100012,SVC0004,2023-05-09,07:52:13,780,mob
SVP00113,SV100012,SVC0004,2023-05-09,07:53:13,840,mob
SVP00114,SV100012,SVC0004,2023-05-09,07:54:13,900,mob
SVP00115,SV100012,SVC0004,2023-05-09,07:55:13,960,mob
SVP00116,SV100012,SVC0004,2023-05-09,07:56:13,1020,mob
SVP00117,SV100012,SVC0004,2023-05-09,07:57:13,1080,mob
SVP00118,SV100012,SVC0004,2023-05-09,07:58:13,1140,mob
SVP00119,SV100012,SVC0004,2023-05-09,07:59:13,1200,mob
SVP00120,SV100012,SVC0004,2023-05-09,08:00:13,1260,mob
SVP00121,SV100012,SVC0004,2023-05-09,08:01:13,1320,mob
SVP00122,SV100012,SVC0004,2023-05-09,08:02:13,1380,mob
SVP00123,SV100012,SVC0004,2023-05-09,08:03:13,1440,mob
SVP00124,SV100012,SVC0004,2023-05-09,08:04:13,1500,mob
SVP00125,SV100012,SVC0004,2023-05-09,08:05:13,1560,mob
SVP00126,SV100012,SVC0004,2023-05-09,08:06:13,1620,mob
SVP00127,SV100012,SVC0004,2023-05-09,08:07:13,1680,mob
SVP00128,SV100012,SVC0004,2023-05-09,08:08:13,1740,mob
SVP00129,SV100012,SVC0004,2023-05-09,08:09:13,1800,mob
SVP00130,SV100012,SVC0004,2023-05-09,08:10:13,1860,mob
SVP00131,SV100012,SVC0004,2023-05-09,08:11:13,1920,mob
SVP00132,SV100012,SVC0004,2023-05-09,08:12:13,1980,mob
SVP00133,SV100012,SVC0004,2023-05-09,08:13:13,2040,mob
SVP00134,SV100012,SVC0004,2023-05-09,08:14:13,2100,mob
SVP00135,SV100012,SVC0004,2023-05-09,08:15:13,2160,mob
SVP00136,SV100012,SVC0004,2023-05-09,08:16:13,2220,mob
SVP00137,SV100012,SVC0004,2023-05-09,08:17:13,2280,mob
SVP00138,SV100012,SVC0004,2023-05-09,08:18:13,2340,mob
SVP00139,SV100012,SVC0004,2023-05-09,08:19:13,2400,mob
SVP00140,SV100012,SVC0004,2023-05-09,08:20:13,2460,mob
SVP00141,SV100014,SVC0025,2025-08-12,20:23:19,0,browser
SVP00142,SV100014,SVC0025,2025-08-12,20:24:19,60,browser
SVP00143,SV100014,SVC0025,2025-08-12,20:25:19,120,browser
SVP00144,SV100014,SVC0025,2025-08-12,20:26:19,180,browser
SVP00145,SV100014,SVC0025,2025-08-12,20:27:19,240,browser
SVP00146,SV100014,SVC0025,2025-08-12,20:28:19,300,browser
SVP00147,SV100014,SVC0025,2025-08-12,20:29:19,360,browser
SVP00148,SV100014,SVC0025,2025-08-12,20:30:19,420,browser
SVP00149,SV100014,SVC0025,2025-08-12,20:31:19,480,browser
SVP00150,SV100014,SVC0025,2025-08-12,20:32:19,540,browser
SVP00151,SV100014,SVC0025,2025-08-12,20:33:19,600,browser
SVP00152,SV100014,SVC0025,2025-08-12,20:34:19,660,browser
SVP00153,SV100014,SVC0025,2025-08-12,20:35:19,720,browser
SVP00154,SV100014,SVC0025,2025-08-12,20:36:19,780,browser
SVP00155,SV100014,SVC0025,2025-08-12,20:37:19,840,browser
SVP00156,SV100014,SVC0025,2025-08-12,20:38:19,900,browser
SVP00157,SV100014,SVC0025,2025-08-12,20:39:19,960,browser
SVP00158,SV100014,SVC0025,2025-08-12,20:40:19,1020,browser
SVP00159,SV100023,SVC0025,2023-06-17,15:33:31,0,stb
SVP00160,SV100023,SVC0025,2023-06-17,15:34:31,60,stb
SVP00161,SV100023,SVC0025,2023-06-17,15:35:31,120,stb
SVP00162,SV100023,SVC0025,2023-06-17,15:36:31,180,stb
SVP00163,SV100023,SVC0025,2023-06-17,15:37:31,240,stb
SVP00164,SV100023,SVC0025,2023-06-17,15:38:31,300,stb
SVP00165,SV100023,SVC0025,2023-06-17,15:39:31,360,stb
SVP00166,SV100023,SVC0025,2023-06-17,15:40:31,420,stb
SVP00167,SV100023,SVC0025,2023-06-17,15:41:31,480,stb
SVP00168,SV100023,SVC0025,2023-06-17,15:42:31,540,stb
SVP00169,SV100023,SVC0025,2023-06-17,15:43:31,600,stb
SVP00170,SV100023,SVC0025,2023-06-17,15:44:31,660,stb
SVP00171,SV100023,SVC0025,2023-06-17,15:45:31,720,stb
SVP00172,SV100023,SVC0025,2023-06-17,15:46:31,780,stb
SVP00173,SV100023,SVC0025,2023-06-17,15:47:31,840,stb
SVP00174,SV100023,SVC0025,2023-06-17,15:48:31,900,stb
SVP00175,SV100023,SVC0025,2023-06-17,15:49:31,960,stb
SVP00176,SV100023,SVC0025,2023-06-17,15:50:31,1020,stb
SVP00177,SV100023,SVC0025,2023-06-17,15:51:31,1080,stb
SVP00178,SV100023,SVC0025,2023-06-17,15:52:31,1140,stb
SVP00179,SV100023,SVC0025,2023-06-17,15:53:31,1200,stb
SVP00180,SV100023,SVC0025,2023-06-17,15:54:31,1260,stb
SVP00181,SV100023,SVC0025,2023-06-17,15:55:31,1320,stb
SVP00182,SV100023,SVC0025,2023-06-17,15:56:31,1380,stb
SVP00183,SV100023,SVC0025,2023-06-17,15:57:31,1440,stb
SVP00184,SV100023,SVC0025,2023-06-17,15:58:31,1500,stb
SVP00185,SV100023,SVC0025,2023-06-17,15:59:31,1560,stb
SVP00186,SV100023,SVC0025,2023-06-17,16:00:31,1620,stb
SVP00187,SV100010,SVC0020,2023-08-30,22:26:10,0,stb
SVP00188,SV100010,SVC0020,2023-08-30,22:27:10,60,stb
SVP00189,SV100010,SVC0020,2023-08-30,22:28:10,120,stb
SVP00190,SV100010,SVC0020,2023-08-30,22:29:10,180,stb
SVP00191,SV100010,SVC0020,2023-08-30,22:30:10,240,stb
SVP00192,SV100010,SVC0020,2023-08-30,22:31:10,300,stb
SVP00193,SV100010,SVC0020,2023-08-30,22:32:10,360,stb
SVP00194,SV100010,SVC0020,2023-08-30,22:33:10,420,stb
SVP00195,SV100010,SVC0020,2023-08-30,22:34:10,480,stb
SVP00196,SV100010,SVC0020,2023-08-30,22:35:10,540,stb
SVP00197,SV100010,SVC0020,2023-08-30,22:36:10,600,stb
SVP00198,SV100010,SVC0020,2023-08-30,22:37:10,660,stb
SVP00199,SV100010,SVC0020,2023-08-30,22:38:10,720,stb
SVP00200,SV100010,SVC0020,2023-08-30,22:39:10,780,stb
SVP00201,SV100010,SVC0020,2023-08-30,22:40:10,840,stb
SVP00202,SV100010,SVC0020,2023-08-30,22:41:10,900,stb
