view_id,article_id,user_id,viewed_at,referrer_source
pv_0001,art_001,usr_101,2024-01-15 09:12:00,search
pv_0002,art_001,usr_204,2024-01-15 09:45:00,social
pv_0003,art_002,usr_307,2024-01-16 10:55:00,direct
pv_0004,art_001,usr_101,2024-01-15 11:30:00,email
pv_0005,art_003,usr_412,2024-01-17 08:30:00,search
pv_0006,art_004,usr_509,2024-01-18 11:20:00,social
pv_0007,art_005,usr_612,2024-01-19 07:15:00,direct
pv_0008,art_001,,2024-01-20 08:00:00,search
pv_0009,art_007,usr_715,2024-01-21 12:30:00,email
pv_0010,art_008,usr_818,2024-01-22 10:15:00,search
pv_0011,art_002,usr_307,2024-01-24 11:45:00,social
pv_0012,art_011,usr_101,2024-01-25 09:10:00,direct
pv_0013,art_012,usr_204,2024-01-25 14:20:00,search
pv_0014,art_007,usr_412,2024-01-21 15:00:00,social
pv_0015,art_006,usr_509,2024-01-20 10:00:00,email
pv_0016,art_013,usr_103,2024-01-26 09:00:00,search
pv_0017,art_013,usr_901,2024-01-26 10:30:00,social
pv_0018,art_014,usr_205,2024-01-26 11:45:00,direct
pv_0019,art_015,usr_307,2024-01-27 08:00:00,search
pv_0020,art_015,usr_612,2024-01-27 09:15:00,social
pv_0021,art_016,usr_101,2024-01-28 10:00:00,email
pv_0022,art_017,usr_818,2024-01-29 10:30:00,search
pv_0023,art_018,usr_412,2024-01-29 12:00:00,direct
pv_0024,art_018,usr_103,2024-01-29 14:30:00,social
pv_0025,art_019,usr_206,2024-01-30 09:00:00,search
pv_0026,art_020,usr_204,2024-01-30 14:00:00,email
pv_0027,art_021,usr_309,2024-01-31 09:30:00,direct
pv_0028,art_022,usr_715,2024-01-31 11:30:00,search
pv_0029,art_007,usr_103,2024-01-21 18:00:00,social
pv_0030,art_011,usr_509,2024-01-25 14:00:00,email
pv_0031,art_023,usr_413,2024-02-01 08:00:00,search
pv_0032,art_023,usr_818,2024-02-01 09:00:00,social
pv_0033,art_024,usr_204,2024-02-01 14:30:00,direct
pv_0034,art_025,usr_101,2024-02-02 09:15:00,search
pv_0035,art_025,usr_310,2024-02-02 10:45:00,email
pv_0036,art_026,usr_412,2024-02-03 11:00:00,social
pv_0037,art_027,usr_205,2024-02-04 08:30:00,search
pv_0038,art_028,usr_509,2024-02-05 09:30:00,direct
pv_0039,art_028,usr_715,2024-02-05 11:00:00,social
pv_0040,art_029,usr_103,2024-02-06 09:00:00,search
pv_0041,art_030,usr_307,2024-02-07 10:30:00,email
pv_0042,art_030,usr_901,2024-02-07 12:00:00,search
pv_0043,art_031,usr_613,2024-02-08 09:30:00,social
pv_0044,art_032,usr_204,2024-02-08 14:00:00,direct
pv_0045,art_033,usr_819,2024-02-09 10:00:00,search
pv_0046,art_034,usr_818,2024-02-10 11:30:00,email
pv_0047,art_034,usr_412,2024-02-10 14:00:00,social
pv_0048,art_035,usr_206,2024-02-10 09:00:00,search
pv_0049,art_036,usr_101,2024-02-11 10:30:00,direct
pv_0050,art_037,usr_309,2024-02-12 09:30:00,search
pv_0051,art_037,usr_716,2024-02-12 11:00:00,social
pv_0052,art_038,usr_103,2024-02-13 12:00:00,email
pv_0053,art_039,usr_307,2024-02-14 08:30:00,search
pv_0054,art_040,usr_204,2024-02-14 13:00:00,direct
pv_0055,art_040,usr_509,2024-02-14 15:30:00,social
pv_0056,art_041,usr_820,2024-02-15 09:30:00,search
pv_0057,art_042,usr_818,2024-02-15 11:00:00,email
pv_0058,art_042,usr_414,2024-02-15 13:00:00,social
pv_0059,art_001,usr_310,2024-01-16 08:00:00,search
pv_0060,art_008,usr_613,2024-01-22 11:00:00,direct
pv_0061,art_017,usr_716,2024-01-29 11:30:00,search
pv_0062,art_021,usr_413,2024-01-31 10:00:00,social
pv_0063,art_013,,2024-01-26 16:00:00,search
pv_0064,art_026,usr_819,2024-02-03 14:00:00,direct
pv_0065,art_033,usr_103,2024-02-09 11:30:00,email
pv_0066,art_035,usr_715,2024-02-10 10:00:00,social
pv_0067,art_038,usr_820,2024-02-13 09:30:00,search
pv_0068,art_041,usr_309,2024-02-15 10:30:00,direct
pv_0069,art_016,usr_206,2024-01-28 12:00:00,search
pv_0070,art_019,usr_510,2024-01-30 10:00:00,social
pv_0071,art_022,usr_103,2024-01-31 12:30:00,email
pv_0072,art_029,usr_412,2024-02-06 10:30:00,search
pv_0073,art_031,usr_101,2024-02-08 10:00:00,social
pv_0074,art_039,usr_510,2024-02-14 09:00:00,search
pv_0075,art_032,usr_820,2024-02-08 16:00:00,direct
