listen_id,episode_id,user_id,listened_at,listen_duration_seconds,platform_id
lst_001,ep_001,usr_101,2024-01-08 07:15:00,2580,1
lst_002,ep_001,usr_204,2024-01-08 09:00:00,1200,3
lst_003,ep_002,usr_307,2024-01-09 08:30:00,3120,2
lst_004,ep_003,usr_412,2024-01-10 06:45:00,2100,1
lst_005,ep_001,usr_509,2024-01-09 17:00:00,2580,5
lst_006,ep_004,usr_101,2024-01-15 07:10:00,2220,1
lst_007,ep_005,usr_612,2024-01-16 09:15:00,980,3
lst_008,ep_006,usr_307,2024-01-17 08:05:00,3600,2
lst_009,ep_007,usr_715,2024-01-18 07:45:00,2700,1
lst_010,ep_008,usr_412,2024-01-19 06:40:00,1860,1
lst_011,ep_004,usr_204,2024-01-16 12:00:00,1800,2
lst_012,ep_009,usr_101,2024-01-22 07:05:00,2460,1
lst_013,ep_010,usr_818,2024-01-23 08:10:00,4200,2
lst_014,ep_011,usr_204,2024-01-24 09:20:00,1100,3
lst_015,ep_012,usr_412,2024-01-25 06:35:00,1620,1
lst_016,ep_002,usr_509,2024-01-10 20:00:00,1500,4
lst_017,ep_010,usr_101,2024-01-24 19:00:00,4200,1
lst_018,ep_013,usr_307,2024-01-26 08:15:00,3360,2
lst_019,ep_013,usr_818,2024-01-27 07:30:00,2100,3
lst_020,ep_014,usr_715,2024-01-29 07:50:00,2880,1
lst_021,ep_015,usr_103,2024-01-30 07:00:00,2040,1
lst_022,ep_016,usr_205,2024-01-30 09:20:00,3780,2
lst_023,ep_017,usr_509,2024-01-31 09:15:00,2160,3
lst_024,ep_015,usr_412,2024-01-31 17:00:00,1500,1
lst_025,ep_018,usr_101,2024-02-05 07:10:00,2520,1
lst_026,ep_019,usr_818,2024-02-06 08:15:00,4560,2
lst_027,ep_020,usr_103,2024-02-07 06:45:00,1800,1
lst_028,ep_021,usr_204,2024-02-08 09:20:00,2700,3
lst_029,ep_022,usr_309,2024-02-08 07:15:00,3240,2
lst_030,ep_023,usr_307,2024-02-09 08:10:00,3000,2
lst_031,ep_006,usr_613,2024-01-18 18:00:00,2900,1
lst_032,ep_011,usr_716,2024-01-25 19:00:00,1800,3
lst_033,ep_013,usr_901,2024-01-27 20:00:00,3360,4
lst_034,ep_016,usr_412,2024-01-31 18:30:00,3000,1
lst_035,ep_018,usr_309,2024-02-05 18:00:00,2000,3
lst_036,ep_019,usr_613,2024-02-06 20:00:00,4200,1
lst_037,ep_020,usr_715,2024-02-07 18:30:00,1800,1
lst_038,ep_021,usr_510,2024-02-08 19:00:00,2700,2
lst_039,ep_022,usr_819,2024-02-08 08:00:00,3240,1
lst_040,ep_023,usr_103,2024-02-10 07:30:00,2400,3
lst_041,ep_024,usr_205,2024-02-12 09:30:00,2940,2
lst_042,ep_025,usr_715,2024-02-12 07:45:00,3120,1
lst_043,ep_026,usr_412,2024-02-13 07:00:00,2280,1
lst_044,ep_027,usr_509,2024-02-14 09:15:00,2520,3
lst_045,ep_028,usr_309,2024-02-15 07:10:00,3660,2
lst_046,ep_029,usr_820,2024-02-15 08:20:00,2820,1
lst_047,ep_024,usr_101,2024-02-13 18:00:00,2200,1
lst_048,ep_025,usr_818,2024-02-13 19:30:00,2400,2
lst_049,ep_026,usr_103,2024-02-13 20:00:00,1800,1
lst_050,ep_027,usr_204,2024-02-15 19:00:00,2000,3
lst_051,ep_030,usr_818,2024-02-19 08:15:00,4020,2
lst_052,ep_031,usr_412,2024-02-21 07:00:00,2100,1
lst_053,ep_032,usr_204,2024-02-22 09:30:00,2460,3
lst_054,ep_033,usr_103,2024-02-22 07:15:00,1980,1
lst_055,ep_034,usr_307,2024-02-26 09:10:00,3300,2
lst_056,ep_035,usr_101,2024-02-26 07:05:00,2760,1
lst_057,ep_036,usr_820,2024-02-27 08:10:00,3180,3
lst_058,ep_037,usr_715,2024-02-29 07:45:00,2640,1
lst_059,ep_030,usr_613,2024-02-20 18:00:00,3200,1
lst_060,ep_031,usr_901,2024-02-21 19:00:00,2100,4
lst_061,ep_032,usr_510,2024-02-22 19:30:00,1800,2
lst_062,ep_033,usr_716,2024-02-23 07:30:00,1980,1
lst_063,ep_034,usr_819,2024-02-27 19:00:00,3300,1
lst_064,ep_035,usr_309,2024-02-27 18:30:00,2400,3
lst_065,ep_036,usr_613,2024-02-28 07:00:00,2800,1
lst_066,ep_037,usr_103,2024-03-01 07:50:00,2640,1
lst_067,ep_001,usr_613,2024-01-09 19:00:00,1800,5
lst_068,ep_003,usr_309,2024-01-11 17:00:00,2100,1
lst_069,ep_007,usr_510,2024-01-19 19:00:00,2700,3
lst_070,ep_009,usr_819,2024-01-23 18:30:00,2000,1
