show_id,show_name,host_name,category,launched_at
show_001,The Policy Pod,Amara Diallo,Politics,2021-05-10
show_002,Bytes & Brains,Kenji Watanabe,Technology,2020-11-03
show_003,SportsCast Weekly,Rachel Torres,Sports,2019-08-14
show_004,Screen & Sound,Dom Fletcher,Entertainment,2022-01-20
show_005,The Climate Brief,Ingrid Holmberg,Politics,2023-03-07
show_006,Deep Dive Tech,Kenji Watanabe,Technology,2022-09-15
show_007,The Stadium,Rachel Torres,Sports,2021-12-01
show_008,The Science Hour,Elena Vasquez,Technology,2021-03-15
show_009,Entertainment Weekly Pod,Dom Fletcher,Entertainment,2023-06-01
show_010,Political Compass,Amara Diallo,Politics,2022-07-20
show_011,Money Matters,Sara Lindqvist,Technology,2020-05-18
show_012,The Field,Marcus Webb,Sports,2023-02-14
show_013,Open Forum and Loop,Björn O'Brien,Politics,2020-06-18
show_014,  A Chronicle  ,  Tomás Rossi  ,Sports,2023-06-03
show_015,Global Hour,Priya  Ó  Súilleabháin,Science,2019-09-08
show_016,City Pod,Niamh Lefevre   Jr.,Health,2021-04-26
show_017,Open  Cast,  Ingrid Håkansson  ,Health,2022-09-20
show_018,   City Wire™,Renée Holmberg,Comedy,2022-05-04
show_019,North Wire and Beat,Sara Andersson  ,True Crime,2019-01-18
show_020,A Byte,Dom Håkansson,True Crime,2023-03-18
show_021,Deep Report – Official,  Dom Sørensen,Education,2018-06-08
show_022,Radio Lens,TOMÁS KOWALSKI,True Crime,2020-10-19
show_023,  Deep Stage,Katarzyna Diallo,Sports,2020-11-09
show_024,  Weekly Corner  ,  Wei Torres,Technology,2019-08-07
show_025,A DISPATCH	,Søren García,Entertainment,2019-09-08
show_026,Bright Junction   ,Ingeborg  Lindqvist,Entertainment,2018-04-24
show_027,North Desk,Marcus Sharma  ,True Crime,2019-03-19
show_028,  BEYOND JUNCTION  ,Théo  Lefevre,Business,2022-05-04
show_029,Daily Desk,Amara Tanaka,Sports,2018-11-22
show_030,Weekly  Compass	,Léa  Meyer,Politics,2019-02-03
show_031,WILD BRIEF,Théo Wójcik,True Crime,2022-10-09
show_032,Bright Trail,  xiomara haddad  ,Science,2022-05-04
show_033,  Daily Sphere,Léa Diallo,Entertainment,2023-03-18
show_034,  Open Circuit,KENJI BERNARD,Health,2020-04-21
show_035,City Roundup,Søren Müller	,Sports,2023-01-24
show_036,Talk Table,Hiroshi Lindqvist,Entertainment,2019-02-03
show_037,weekly forum,Amara Reyes,Business,2024-07-22
show_038,Global Loop (Podcast),  Mateus Nguyễn,Business,2023-12-28
show_039,  The Compass,  Elena Haddad  ,Health,2021-10-05
show_040,City Circuit   ,Wei Jansen,True Crime,2019-05-02
show_041,Real Cast,Olga  Nguyễn    ,Politics,2019-08-07
show_042,  Deep Chronicle  ,Olga Dr. Ivanova,Business,2018-11-22
show_043,   Bright Brief,Tomás Holmberg,Sports,2020-11-09
show_044,Deep Hour and Corner,    Anh  Ivanova,Education,2024-04-23
show_045,   The Anthem  ,Karim Yamamoto,Science,2023-11-20
show_046,  A Loop and Roundup #1,Aleksandra Meyer,Technology,2018-04-24
show_047,Open Feed,Anh Nilsson,Education,2023-06-03
show_048,Deep Forum and Roundup,Chiara Ivanova,Education,2022-02-04
show_049,  Open Forum,Anh Torres  ,Sports,2022-05-04
show_050,Deep Hour,Zoë Dr. Świątek,Technology,2022-08-12
show_051,Talk Anthem #1,Sven Wójcik,Education,2019-07-03
show_052,Open Loop,Siobhán Tanaka,Education,2021-10-05
show_053,"""Weekly Feed""",Anh Haddad,Sports,2024-09-25
show_054,  TALK JUNCTION,  Andrés Dubois  ,Comedy,2021-02-01
show_055,Daily Chronicle & Digest,  Camille Diallo  ,Entertainment,2023-01-24
show_056,the corner,yusuf torres,True Crime,2022-06-12
show_057,  Deep Junction...,Aleksandra J.-P. Lindqvist,Comedy,2018-12-24
show_058,North  Byte,Siobhán García,True Crime,2020-09-15
show_059,   Bright Wire,Katarzyna Webb,True Crime,2021-03-25
show_060,  City Byte,  Niamh Rossi,Education,2022-08-12
show_061,Talk Chronicle,Tomás Bernard,Technology,2018-12-24
show_062,WILD WIRE,Théo Kaur,Entertainment,2019-02-03
show_063,  Inside Forum,ingrid watanabe,Sports,2019-07-03
show_064,  Beyond Hour + Pod,niamh vasquez,Science,2020-11-09
show_065,  North Anthem  ,  Dom Diallo  ,Sports,2022-01-11
show_066,Open Compass,Nadia Novák,Health,2018-12-24
show_067,Wild  Forum and Table,Katarzyna Sørensen  ,Sports,2024-06-02
show_068,  Deep Anthem,Layla Świątek,Education,2018-08-05
show_069,  Inside Compass and Loop,SIOBHÁN Ó SÚILLEABHÁIN,True Crime,2019-08-07
show_070,  A LOOP AND FEED,Aleksandra Dr. Nowak,Science,2021-01-28
show_071,Real Trail,THÉO BERNARD  ,True Crime,2018-12-24
show_072,Wild Compass,sara sørensen,Sports,2019-12-01
show_073,Bright Trail,Hiroshi Moreau,Science,2019-09-08
show_074,North  Chronicle,  Elena Håkansson  ,Politics,2022-06-12
show_075,a desk   ,Yusuf Torres	,Business,2020-04-21
show_076,Deep Sphere,Ingrid Webb,Health,2020-07-14
show_077,  WILD SIGNAL,  Mateus Moreau,Technology,2024-03-07
show_078,Daily Digest + Roundup,  Iker Costa,Comedy,2020-09-15
show_079,  A ANTHEM  ,Camille Ivanova,Science,2018-11-22
show_080,Wild Corner   ,Olga Petrov,Science,2021-11-07
show_081,BRIGHT  POD + PULSE,Niamh Rossi,Entertainment,2019-03-19
show_082,The Trail,Anh Lefevre  ,Health,2021-09-09
show_083,Radio Sphere,  Noémie Al-Farsi  ,Technology,2021-04-26
show_084,beyond feed,Søren Al-Farsi,Technology,2023-07-18
show_085,  Deep Frontier  ,Ingrid Chen  ,Education,2021-08-11
show_086,  A Dispatch	,Karim O'Brien,Comedy,2022-06-12
show_087,Global Loop,Ingrid Lindqvist,Entertainment,2019-09-08
show_088,"""  Daily Stage  """,dmitri costa,True Crime,2018-02-04
show_089,TALK LENS AND TRAIL – Official,Dmitri Ivanova,Health,2023-12-28
show_090,INSIDE  ANTHEM + COMPASS,Dmitri Al-Farsi,True Crime,2023-03-18
show_091,Weekly Grid	,Léa Sharma,Education,2022-01-11
show_092,  deep dispatch,iker meyer,True Crime,2022-01-11
show_093,Daily Signal,Sven Chen,Health,2023-12-28
show_094,Real Frontier + Sphere,Søren Ivanova,Education,2020-07-14
show_095,OPEN CAST,Amara Ó Súilleabháin,Business,2024-11-03
show_096,A Stage?,Rachel Bernard Jr.,Health,2021-01-28
show_097,City Byte,Priya Nilsson  ,Science,2023-06-03
show_098,  Daily Hour (Podcast),Hiroshi A. Jansen,Business,2019-04-14
show_099,Weekly Beat   ,Rafael Kuznetsov,Education,2019-03-19
show_100,A Dispatch,Elena  Sørensen,Politics,2022-03-03
show_101,  Real Dispatch & Table!,François Al-Farsi,Science,2018-11-22
show_102,  Deep Byte,Tomás Berg,Technology,2018-05-09
show_103,Wild  Corner – Official,Rachel Bernard,Education,2021-05-06
show_104,Daily Brief    – Official,Nadia Ó Súilleabháin,Science,2019-12-01
show_105,  Global Brief  ,  Sven Sharma  ,Education,2024-06-02
show_106,A Forum + Trail,Anaïs Webb,Business,2022-01-11
show_107,  City Sphere  ,José de Nowak,Sports,2020-02-07
show_108,Daily Brief,Anh Costa  ,Politics,2023-08-10
show_109,A Dispatch	,Dmitri Costa	,Politics,2018-03-01
show_110,  Real Sphere,Noémie Meyer,Entertainment,2021-03-25
show_111,Radio  Byte,nadia fernández PhD,Education,2023-01-24
show_112,"""Real Cast""",Chiara Nilsson,Science,2019-06-01
show_113,   radio compass  ,Zoë Watanabe,Science,2018-11-22
show_114,  Weekly Chronicle,Hiroshi Ivanova,Health,2023-11-20
show_115,  Radio Corner   – Official,Björn van Berg,Health,2020-09-15
show_116,Open Trail,Renée Ivanova,Health,2019-11-20
show_117,Beyond Roundup,Émile Lefevre,Business,2018-09-24
show_118,Wild Pulse,Camille O'Brien,Technology,2019-02-03
show_119,Open Pulse   ,  Sara Diallo,Education,2023-05-13
show_120,Deep Beat,José Wójcik,Health,2024-11-03
show_121,Talk Pulse,Karim Dubois  ,Entertainment,2020-03-23
show_122,Real Anthem,Anh Wójcik,Business,2024-07-22
show_123,  Radio Pulse & Brief  ,Karim O'Brien,Politics,2021-10-05
show_124,The Grid and Sphere	,Wojciech Müller,Technology,2024-02-19
show_125,talk circuit,Layla Andersson,Entertainment,2020-03-23
show_126,Inside Forum,Rafael Håkansson,Science,2018-08-05
show_127,Real Forum,KARIM CHEN,Health,2022-11-26
show_128,Global Roundup,Camille García,Health,2018-07-08
show_129,A  Wire,yusuf fernández,Politics,2022-03-03
show_130,weekly trail   ,Amara Diallo,Technology,2019-02-03
show_131,Daily Beat   	,Layla Håkansson,Technology,2019-06-01
show_132,Talk Table,  Fatima Aoki,Entertainment,2023-04-04
show_133,beyond  wire,Andrés Nowak	,Politics,2022-03-03
show_134,Weekly Byte,José Rossi,Entertainment,2018-08-05
show_135,  OPEN HOUR	,  Yusuf Aoki,Business,2019-04-14
show_136,   The Roundup   (Podcast),Björn Nowak  	,Politics,2020-08-08
show_137,a grid,Sven Reyes,True Crime,2018-06-08
show_138,Beyond Hour,  Anaïs Meyer  ,Sports,2018-01-21
show_139,  Wild Pod  ™,José Wójcik,True Crime,2022-05-04
show_140,   Inside Loop – Official,Fatima Sharma,Sports,2024-03-07
show_141,  Talk Digest and Loop  ,HÅKON TANAKA,Health,2022-03-03
show_142,A Pulse,  Yusuf Webb,Education,2024-04-23
show_143,   Real Stage,  Rachel Costa,Sports,2020-12-26
show_144,  Real Loop,Yusuf Reyes  ,Health,2023-02-15
show_145,Global Beat,Léa Wójcik,Politics,2020-05-23
show_146,Beyond Beat,Søren Novák,Technology,2018-08-05
show_147,Open  Corner,  Zoë Fletcher,Science,2024-04-23
show_148,Talk Roundup   ,Ingeborg Meyer,Education,2022-03-03
show_149,A Signal,Zoë Håkansson	,Technology,2021-09-09
show_150,Real Chronicle & Cast,léa novák,Technology,2021-08-11
